[['Hjelpe gamle damer over veien', 18], ['Gi en klem', 14], ['Narrestreker', 2], ['Gi en gave', 6]]
[['Gi en klem', 7], ['Hjelpe gamle damer over veien', 9], ['Narrestreker', 5], ['Ta siste rest av kaffe uten å lage mer', 15]]
[['Dytte gamle damer ut i veien', 19], ['Gi en gave', 9], ['Gi en klem', 18], ['Narrestreker', 1]]
[['Tatt med guitar på fest', 7], ['Gi en klem', 10], ['Hjelpe gamle damer over veien', 5], ['Dytte gamle damer ut i veien', 19]]
[['Gi en gave', 14], ['Narrestreker', 2], ['Gi en klem', 2], ['Dytte gamle damer ut i veien', 15]]
[['Hjelpe noen', 15], ['Gi en gave', 8], ['Narrestreker', 17], ['Lure noen', 10]]
[['Dytte gamle damer ut i veien', 19], ['Narrestreker', 9], ['Gi en klem', 11], ['Hjelpe noen', 6]]
[['Hjelpe gamle damer over veien', 5], ['Narrestreker', 10], ['Tatt med guitar på fest', 16], ['Gi en gave', 11]]
[['Gi en gave', 9], ['Tatt med guitar på fest', 2], ['Hjelpe gamle damer over veien', 2], ['Dytte gamle damer ut i veien', 9]]
[['Hjelpe noen', 2], ['Gi en gave', 12], ['Ta siste rest av kaffe uten å lage mer', 5], ['Narrestreker', 14]]
[['Dytte gamle damer ut i veien', 3], ['Gi en gave', 5], ['Ta siste rest av kaffe uten å lage mer', 10], ['Gi en klem', 1]]
[['Gi en gave', 13], ['Hjelpe gamle damer over veien', 4], ['Hjelpe noen', 6], ['Dytte gamle damer ut i veien', 12]]
[['Hjelpe gamle damer over veien', 12], ['Narrestreker', 19], ['Dytte gamle damer ut i veien', 16], ['Gi en gave', 17]]
[['Hjelpe noen', 19], ['Redde ett liv', 19], ['Narrestreker', 9], ['Gi en gave', 13]]
[['Hjelpe gamle damer over veien', 13], ['Lure noen', 13], ['Hjelpe noen', 12], ['Narrestreker', 14]]
[['Narrestreker', 14], ['Gi en gave', 7], ['Hjelpe noen', 10], ['Hjelpe gamle damer over veien', 11]]
[['Hjelpe gamle damer over veien', 16], ['Ta siste rest av kaffe uten å lage mer', 12], ['Lure noen', 17], ['Narrestreker', 5]]
[['Gi en klem', 7], ['Hjelpe noen', 8], ['Dytte gamle damer ut i veien', 2], ['Gi en gave', 16]]
[['Ta siste rest av kaffe uten å lage mer', 4], ['Hjelpe noen', 9], ['Gi en gave', 4], ['Dytte gamle damer ut i veien', 14]]
[['Gi en gave', 14], ['Hjelpe noen', 6], ['Hjelpe gamle damer over veien', 7], ['Lure noen', 10]]
[['Lure noen', 18], ['Hjelpe gamle damer over veien', 2], ['Dytte gamle damer ut i veien', 5], ['Gi en gave', 9]]
[['Narrestreker', 9], ['Ta siste rest av kaffe uten å lage mer', 6], ['Hjelpe noen', 13], ['Dytte gamle damer ut i veien', 16]]
[['Gi en gave', 4], ['Hjelpe noen', 17], ['Gi en klem', 19], ['Lure noen', 5]]
[['Gi en klem', 10], ['Lure noen', 14], ['Dytte gamle damer ut i veien', 15], ['Ta siste rest av kaffe uten å lage mer', 13]]
[['Hjelpe noen', 19], ['Lure noen', 11], ['Tatt med guitar på fest', 17], ['Narrestreker', 12]]
[['Gi en klem', 14], ['Hjelpe noen', 8], ['Hjelpe gamle damer over veien', 9], ['Dytte gamle damer ut i veien', 7]]
[['Dytte gamle damer ut i veien', 5], ['Hjelpe noen', 13], ['Narrestreker', 15], ['Hjelpe gamle damer over veien', 13]]
[['Narrestreker', 11], ['Lure noen', 19], ['Hjelpe noen', 6], ['Gi en gave', 15]]
[['Hjelpe noen', 16], ['Gi en klem', 12], ['Spilt nickelback', 11], ['Hjelpe gamle damer over veien', 10]]
[['Gi en klem', 1], ['Gi en gave', 16], ['Lure noen', 18], ['Hjelpe gamle damer over veien', 14]]
[['Narrestreker', 17], ['Hjelpe noen', 4], ['Hjelpe gamle damer over veien', 5], ['Gi en gave', 8]]
[['Gi en gave', 3], ['Gi en klem', 17], ['Spilt nickelback', 1], ['Lure noen', 18]]
[['Gi en gave', 5], ['Hjelpe gamle damer over veien', 1], ['Ta siste rest av kaffe uten å lage mer', 9], ['Mord', 18]]
[['Dytte gamle damer ut i veien', 12], ['Gi en gave', 7], ['Lure noen', 14], ['Gi en klem', 10]]
[['Narrestreker', 13], ['Hjelpe noen', 7], ['Gi en klem', 6], ['Lure noen', 13]]
[['Dytte gamle damer ut i veien', 6], ['Hjelpe noen', 18], ['Gi en klem', 2], ['Narrestreker', 4]]
[['Hjelpe noen', 17], ['Hjelpe gamle damer over veien', 17], ['Gi en klem', 15], ['Narrestreker', 9]]
[['Hjelpe noen', 14], ['Gi en gave', 11], ['Hjelpe gamle damer over veien', 15], ['Narrestreker', 19]]
[['Tatt med guitar på fest', 3], ['Lure noen', 12], ['Narrestreker', 8], ['Hjelpe noen', 7]]
[['Hjelpe noen', 8], ['Gi en klem', 17], ['Gi en gave', 19], ['Tatt med guitar på fest', 13]]
[['Gi en gave', 2], ['Hjelpe noen', 11], ['Lure noen', 11], ['Gi en klem', 9]]
[['Gi en klem', 2], ['Hjelpe noen', 17], ['Lure noen', 2], ['Gi en gave', 14]]
[['Lure noen', 16], ['Dytte gamle damer ut i veien', 2], ['Narrestreker', 6], ['Tatt med guitar på fest', 4]]
[['Hjelpe noen', 18], ['Gi en gave', 9], ['Lure noen', 18], ['Narrestreker', 18]]
[['Gi en gave', 4], ['Tatt med guitar på fest', 2], ['Hjelpe noen', 9], ['Dytte gamle damer ut i veien', 4]]
[['Gi en gave', 5], ['Tatt med guitar på fest', 10], ['Narrestreker', 13], ['Hjelpe noen', 4]]
[['Hjelpe noen', 10], ['Gi en klem', 5], ['Hjelpe gamle damer over veien', 12], ['Ta siste rest av kaffe uten å lage mer', 8]]
[['Gi en klem', 17], ['Dytte gamle damer ut i veien', 8], ['Hjelpe gamle damer over veien', 18], ['Narrestreker', 8]]
[['Hjelpe gamle damer over veien', 13], ['Gi en gave', 4], ['Ta siste rest av kaffe uten å lage mer', 4], ['Lure noen', 9]]
[['Narrestreker', 15], ['Hjelpe noen', 19], ['Hjelpe gamle damer over veien', 16], ['Tatt med guitar på fest', 6]]
[['Gi en gave', 18], ['Ta siste rest av kaffe uten å lage mer', 8], ['Narrestreker', 13], ['Hjelpe gamle damer over veien', 14]]
[['Gi en klem', 3], ['Hjelpe gamle damer over veien', 17], ['Hjelpe noen', 11], ['Gi en gave', 19]]
[['Gi en gave', 18], ['Gi en klem', 10], ['Dytte gamle damer ut i veien', 6], ['Hjelpe noen', 9]]
[['Lure noen', 10], ['Ta siste rest av kaffe uten å lage mer', 11], ['Hjelpe noen', 7], ['Hjelpe gamle damer over veien', 13]]
[['Mord', 7], ['Gi en klem', 2], ['Hjelpe noen', 8], ['Lure noen', 16]]
[['Hjelpe gamle damer over veien', 9], ['Ta siste rest av kaffe uten å lage mer', 13], ['Hjelpe noen', 4], ['Tatt med guitar på fest', 19]]
[['Hjelpe gamle damer over veien', 19], ['Ta siste rest av kaffe uten å lage mer', 7], ['Gi en klem', 14], ['Hjelpe noen', 7]]
[['Gi en gave', 1], ['Dytte gamle damer ut i veien', 10], ['Gi en klem', 16], ['Hjelpe noen', 6]]
[['Dytte gamle damer ut i veien', 2], ['Hjelpe noen', 16], ['Gi en gave', 16], ['Tatt med guitar på fest', 7]]
[['Hjelpe gamle damer over veien', 6], ['Gi en klem', 5], ['Dytte gamle damer ut i veien', 14], ['Tatt med guitar på fest', 3]]
[['Narrestreker', 2], ['Gi en gave', 16], ['Hjelpe gamle damer over veien', 6], ['Hjelpe noen', 19]]
[['Hjelpe noen', 6], ['Dytte gamle damer ut i veien', 19], ['Gi en klem', 1], ['Lure noen', 4]]
[['Lure noen', 6], ['Gi en klem', 6], ['Gi en gave', 5], ['Hjelpe gamle damer over veien', 16]]
[['Hjelpe noen', 18], ['Ta siste rest av kaffe uten å lage mer', 5], ['Narrestreker', 7], ['Gi en gave', 12]]
[['Gi en gave', 8], ['Gi en klem', 1], ['Narrestreker', 5], ['Dytte gamle damer ut i veien', 13]]
[['Gi en klem', 16], ['Gi en gave', 6], ['Hjelpe noen', 17], ['Dytte gamle damer ut i veien', 13]]
[['Narrestreker', 2], ['Hjelpe gamle damer over veien', 9], ['Hjelpe noen', 5], ['Gi en gave', 8]]
[['Hjelpe noen', 8], ['Dytte gamle damer ut i veien', 7], ['Gi en gave', 13], ['Narrestreker', 5]]
[['Dytte gamle damer ut i veien', 3], ['Hjelpe gamle damer over veien', 15], ['Gi en klem', 13], ['Gi en gave', 12]]
[['Dytte gamle damer ut i veien', 17], ['Hjelpe noen', 14], ['Hjelpe gamle damer over veien', 6], ['Gi en gave', 17]]
[['Lure noen', 3], ['Hjelpe gamle damer over veien', 7], ['Gi en gave', 2], ['Dytte gamle damer ut i veien', 4]]
[['Gi en gave', 1], ['Hjelpe noen', 1], ['Hjelpe gamle damer over veien', 16], ['Narrestreker', 18]]
[['Hjelpe noen', 15], ['Hjelpe gamle damer over veien', 9], ['Gi en gave', 18], ['Gi en klem', 18]]
[['Hjelpe noen', 11], ['Narrestreker', 5], ['Dytte gamle damer ut i veien', 12], ['Tatt med guitar på fest', 3]]
[['Gi en klem', 16], ['Dytte gamle damer ut i veien', 14], ['Narrestreker', 9], ['Hjelpe gamle damer over veien', 6]]
[['Gi en gave', 7], ['Gi en klem', 16], ['Hjelpe gamle damer over veien', 8], ['Narrestreker', 7]]
[['Narrestreker', 13], ['Hjelpe gamle damer over veien', 10], ['Dytte gamle damer ut i veien', 9], ['Hjelpe noen', 15]]
[['Narrestreker', 16], ['Dytte gamle damer ut i veien', 8], ['Hjelpe gamle damer over veien', 17], ['Gi en klem', 16]]
[['Gi en gave', 19], ['Hjelpe gamle damer over veien', 15], ['Dytte gamle damer ut i veien', 17], ['Narrestreker', 1]]
[['Gi en gave', 15], ['Gi en klem', 9], ['Hjelpe noen', 5], ['Ta siste rest av kaffe uten å lage mer', 10]]
[['Narrestreker', 11], ['Hjelpe noen', 18], ['Dytte gamle damer ut i veien', 2], ['Hjelpe gamle damer over veien', 19]]
[['Gi en gave', 17], ['Dytte gamle damer ut i veien', 5], ['Hjelpe noen', 6], ['Narrestreker', 6]]
[['Lure noen', 13], ['Hjelpe gamle damer over veien', 14], ['Gi en gave', 6], ['Gi en klem', 14]]
[['Hjelpe noen', 16], ['Tatt med guitar på fest', 12], ['Narrestreker', 19], ['Gi en klem', 10]]
[['Gi en gave', 9], ['Hjelpe noen', 9], ['Ta siste rest av kaffe uten å lage mer', 12], ['Narrestreker', 3]]
[['Hjelpe gamle damer over veien', 10], ['Lure noen', 17], ['Gi en klem', 1], ['Narrestreker', 14]]
[['Narrestreker', 8], ['Hjelpe gamle damer over veien', 19], ['Dytte gamle damer ut i veien', 12], ['Ta siste rest av kaffe uten å lage mer', 4]]
[['Hjelpe gamle damer over veien', 5], ['Gi en gave', 17], ['Hjelpe noen', 12], ['Lure noen', 19]]
[['Gi en klem', 1], ['Gi en gave', 2], ['Narrestreker', 14], ['Dytte gamle damer ut i veien', 9]]
[['Hjelpe gamle damer over veien', 7], ['Gi en gave', 5], ['Tatt med guitar på fest', 12], ['Lure noen', 1]]
[['Hjelpe noen', 4], ['Narrestreker', 8], ['Hjelpe gamle damer over veien', 3], ['Tatt med guitar på fest', 8]]
[['Lure noen', 12], ['Spilt nickelback', 13], ['Hjelpe noen', 15], ['Hjelpe gamle damer over veien', 5]]
[['Dytte gamle damer ut i veien', 12], ['Mord', 18], ['Narrestreker', 15], ['Lure noen', 18]]
[['Narrestreker', 12], ['Hjelpe noen', 9], ['Spilt nickelback', 2], ['Hjelpe gamle damer over veien', 1]]
[['Gi en gave', 3], ['Narrestreker', 10], ['Hjelpe gamle damer over veien', 10], ['Hjelpe noen', 17]]
[['Hjelpe gamle damer over veien', 13], ['Dytte gamle damer ut i veien', 17], ['Gi en gave', 13], ['Tatt med guitar på fest', 10]]
[['Hjelpe gamle damer over veien', 3], ['Gi en gave', 4], ['Gi en klem', 6], ['Hjelpe noen', 6]]
[['Hjelpe gamle damer over veien', 3], ['Tatt med guitar på fest', 3], ['Narrestreker', 6], ['Gi en gave', 11]]
[['Hjelpe noen', 1], ['Narrestreker', 6], ['Lure noen', 14], ['Gi en klem', 6]]
[['Hjelpe noen', 13], ['Mord', 2], ['Gi en klem', 18], ['Lure noen', 2]]
[['Dytte gamle damer ut i veien', 13], ['Hjelpe gamle damer over veien', 1], ['Gi en gave', 9], ['Ta siste rest av kaffe uten å lage mer', 11]]
[['Narrestreker', 7], ['Hjelpe noen', 13], ['Gi en gave', 7], ['Hjelpe gamle damer over veien', 13]]
[['Dytte gamle damer ut i veien', 8], ['Gi en gave', 6], ['Hjelpe noen', 14], ['Lure noen', 17]]
[['Narrestreker', 19], ['Spilt nickelback', 7], ['Gi en klem', 18], ['Gi en gave', 14]]
[['Hjelpe noen', 11], ['Gi en gave', 11], ['Dytte gamle damer ut i veien', 6], ['Hjelpe gamle damer over veien', 12]]
[['Gi en klem', 6], ['Hjelpe noen', 13], ['Narrestreker', 9], ['Dytte gamle damer ut i veien', 14]]
[['Hjelpe noen', 10], ['Narrestreker', 17], ['Ta siste rest av kaffe uten å lage mer', 10], ['Dytte gamle damer ut i veien', 17]]
[['Hjelpe gamle damer over veien', 10], ['Gi en gave', 2], ['Dytte gamle damer ut i veien', 9], ['Hjelpe noen', 4]]
[['Dytte gamle damer ut i veien', 3], ['Lure noen', 9], ['Hjelpe gamle damer over veien', 13], ['Tatt med guitar på fest', 7]]
[['Lure noen', 10], ['Dytte gamle damer ut i veien', 18], ['Gi en gave', 14], ['Tatt med guitar på fest', 5]]
[['Hjelpe noen', 1], ['Gi en gave', 7], ['Narrestreker', 5], ['Gi en klem', 19]]
[['Gi en gave', 10], ['Narrestreker', 13], ['Gi en klem', 12], ['Hjelpe noen', 16]]
[['Hjelpe gamle damer over veien', 8], ['Spilt nickelback', 17], ['Ta siste rest av kaffe uten å lage mer', 8], ['Narrestreker', 19]]
[['Gi en gave', 5], ['Hjelpe noen', 15], ['Gi en klem', 3], ['Narrestreker', 5]]
[['Hjelpe noen', 1], ['Gi en klem', 8], ['Lure noen', 5], ['Gi en gave', 13]]
[['Gi en gave', 9], ['Gi en klem', 15], ['Hjelpe noen', 15], ['Hjelpe gamle damer over veien', 4]]
[['Hjelpe noen', 2], ['Gi en klem', 5], ['Tatt med guitar på fest', 16], ['Gi en gave', 19]]
[['Hjelpe gamle damer over veien', 3], ['Gi en gave', 14], ['Gi en klem', 4], ['Spilt nickelback', 8]]
[['Hjelpe noen', 8], ['Gi en gave', 13], ['Gi en klem', 11], ['Narrestreker', 5]]
[['Dytte gamle damer ut i veien', 13], ['Gi en klem', 2], ['Narrestreker', 2], ['Hjelpe gamle damer over veien', 16]]
[['Narrestreker', 18], ['Ta siste rest av kaffe uten å lage mer', 10], ['Hjelpe noen', 12], ['Hjelpe gamle damer over veien', 8]]
[['Gi en gave', 2], ['Gi en klem', 2], ['Narrestreker', 3], ['Hjelpe noen', 17]]
[['Lure noen', 1], ['Narrestreker', 6], ['Hjelpe gamle damer over veien', 9], ['Gi en gave', 14]]
[['Gi en klem', 4], ['Dytte gamle damer ut i veien', 3], ['Narrestreker', 4], ['Hjelpe gamle damer over veien', 3]]
[['Gi en gave', 3], ['Hjelpe noen', 10], ['Narrestreker', 11], ['Gi en klem', 19]]
[['Gi en klem', 11], ['Tatt med guitar på fest', 7], ['Hjelpe gamle damer over veien', 4], ['Hjelpe noen', 5]]
[['Hjelpe gamle damer over veien', 1], ['Ta siste rest av kaffe uten å lage mer', 16], ['Hjelpe noen', 16], ['Gi en gave', 10]]
[['Gi en klem', 10], ['Gi en gave', 7], ['Narrestreker', 13], ['Hjelpe gamle damer over veien', 6]]
[['Lure noen', 13], ['Hjelpe gamle damer over veien', 16], ['Ta siste rest av kaffe uten å lage mer', 8], ['Hjelpe noen', 13]]
[['Gi en klem', 15], ['Hjelpe gamle damer over veien', 4], ['Tatt med guitar på fest', 4], ['Dytte gamle damer ut i veien', 7]]
[['Lure noen', 13], ['Narrestreker', 8], ['Hjelpe noen', 6], ['Dytte gamle damer ut i veien', 8]]
[['Hjelpe noen', 17], ['Gi en klem', 12], ['Ta siste rest av kaffe uten å lage mer', 19], ['Hjelpe gamle damer over veien', 4]]
[['Dytte gamle damer ut i veien', 5], ['Narrestreker', 9], ['Hjelpe gamle damer over veien', 5], ['Ta siste rest av kaffe uten å lage mer', 1]]
[['Ta siste rest av kaffe uten å lage mer', 2], ['Spilt nickelback', 2], ['Gi en klem', 7], ['Narrestreker', 5]]
[['Narrestreker', 1], ['Tatt med guitar på fest', 6], ['Hjelpe noen', 3], ['Lure noen', 14]]
[['Narrestreker', 4], ['Dytte gamle damer ut i veien', 11], ['Gi en klem', 4], ['Ta siste rest av kaffe uten å lage mer', 16]]
[['Hjelpe noen', 2], ['Lure noen', 1], ['Gi en gave', 17], ['Narrestreker', 16]]
[['Hjelpe noen', 14], ['Gi en gave', 7], ['Gi en klem', 12], ['Hjelpe gamle damer over veien', 6]]
[['Tatt med guitar på fest', 5], ['Gi en gave', 12], ['Dytte gamle damer ut i veien', 8], ['Hjelpe gamle damer over veien', 3]]
[['Hjelpe noen', 9], ['Ta siste rest av kaffe uten å lage mer', 11], ['Gi en gave', 8], ['Tatt med guitar på fest', 17]]
[['Hjelpe noen', 7], ['Narrestreker', 8], ['Gi en gave', 1], ['Lure noen', 3]]
[['Gi en klem', 13], ['Hjelpe noen', 8], ['Gi en gave', 5], ['Dytte gamle damer ut i veien', 12]]
[['Hjelpe noen', 10], ['Narrestreker', 13], ['Spilt nickelback', 18], ['Lure noen', 16]]
[['Tatt med guitar på fest', 13], ['Gi en gave', 16], ['Hjelpe noen', 19], ['Lure noen', 13]]
[['Hjelpe noen', 10], ['Hjelpe gamle damer over veien', 2], ['Gi en klem', 18], ['Lure noen', 8]]
[['Narrestreker', 19], ['Hjelpe gamle damer over veien', 4], ['Gi en klem', 4], ['Gi en gave', 19]]
[['Tatt med guitar på fest', 12], ['Narrestreker', 14], ['Gi en gave', 12], ['Dytte gamle damer ut i veien', 4]]
[['Gi en klem', 10], ['Hjelpe gamle damer over veien', 10], ['Lure noen', 4], ['Tatt med guitar på fest', 11]]
[['Gi en gave', 11], ['Hjelpe gamle damer over veien', 2], ['Ta siste rest av kaffe uten å lage mer', 6], ['Hjelpe noen', 6]]
[['Hjelpe noen', 12], ['Gi en gave', 1], ['Lure noen', 14], ['Hjelpe gamle damer over veien', 17]]
[['Gi en gave', 4], ['Gi en klem', 12], ['Hjelpe noen', 9], ['Narrestreker', 10]]
[['Tatt med guitar på fest', 17], ['Gi en klem', 2], ['Gi en gave', 16], ['Hjelpe noen', 7]]
[['Hjelpe gamle damer over veien', 5], ['Hjelpe noen', 6], ['Gi en klem', 11], ['Gi en gave', 13]]
[['Hjelpe noen', 15], ['Narrestreker', 15], ['Gi en gave', 15], ['Gi en klem', 10]]
[['Hjelpe noen', 1], ['Gi en klem', 6], ['Tatt med guitar på fest', 4], ['Ta siste rest av kaffe uten å lage mer', 5]]
[['Narrestreker', 9], ['Gi en klem', 14], ['Dytte gamle damer ut i veien', 11], ['Gi en gave', 10]]
[['Hjelpe noen', 19], ['Ta siste rest av kaffe uten å lage mer', 15], ['Dytte gamle damer ut i veien', 17], ['Narrestreker', 2]]
[['Hjelpe noen', 15], ['Lure noen', 6], ['Gi en klem', 1], ['Gi en gave', 13]]
[['Gi en gave', 5], ['Dytte gamle damer ut i veien', 3], ['Lure noen', 15], ['Narrestreker', 8]]
[['Hjelpe noen', 10], ['Ta siste rest av kaffe uten å lage mer', 13], ['Hjelpe gamle damer over veien', 6], ['Gi en klem', 14]]
[['Lure noen', 7], ['Gi en gave', 9], ['Dytte gamle damer ut i veien', 19], ['Hjelpe noen', 8]]
[['Narrestreker', 2], ['Tatt med guitar på fest', 11], ['Gi en gave', 1], ['Hjelpe gamle damer over veien', 18]]
[['Narrestreker', 13], ['Gi en klem', 3], ['Hjelpe noen', 18], ['Gi en gave', 10]]
[['Gi en gave', 5], ['Ta siste rest av kaffe uten å lage mer', 6], ['Hjelpe noen', 11], ['Gi en klem', 17]]
[['Hjelpe gamle damer over veien', 15], ['Gi en klem', 13], ['Gi en gave', 6], ['Hjelpe noen', 2]]
[['Hjelpe noen', 16], ['Gi en klem', 6], ['Lure noen', 12], ['Hjelpe gamle damer over veien', 5]]
[['Dytte gamle damer ut i veien', 10], ['Lure noen', 13], ['Gi en gave', 1], ['Narrestreker', 9]]
[['Dytte gamle damer ut i veien', 13], ['Gi en gave', 18], ['Gi en klem', 2], ['Narrestreker', 17]]
[['Gi en gave', 15], ['Dytte gamle damer ut i veien', 4], ['Hjelpe noen', 15], ['Narrestreker', 6]]
[['Narrestreker', 3], ['Hjelpe gamle damer over veien', 7], ['Lure noen', 5], ['Hjelpe noen', 7]]
[['Tatt med guitar på fest', 10], ['Gi en gave', 5], ['Lure noen', 9], ['Hjelpe noen', 15]]
[['Hjelpe noen', 14], ['Narrestreker', 16], ['Gi en gave', 14], ['Hjelpe gamle damer over veien', 16]]
[['Dytte gamle damer ut i veien', 19], ['Hjelpe noen', 6], ['Hjelpe gamle damer over veien', 14], ['Lure noen', 9]]
[['Narrestreker', 12], ['Hjelpe noen', 8], ['Gi en gave', 18], ['Dytte gamle damer ut i veien', 11]]
[['Hjelpe noen', 10], ['Dytte gamle damer ut i veien', 12], ['Hjelpe gamle damer over veien', 11], ['Gi en gave', 5]]
[['Gi en gave', 6], ['Narrestreker', 2], ['Gi en klem', 11], ['Hjelpe gamle damer over veien', 4]]
[['Gi en gave', 9], ['Narrestreker', 15], ['Hjelpe gamle damer over veien', 13], ['Tatt med guitar på fest', 1]]
[['Gi en klem', 19], ['Narrestreker', 7], ['Gi en gave', 9], ['Hjelpe noen', 19]]
[['Hjelpe gamle damer over veien', 3], ['Dytte gamle damer ut i veien', 13], ['Narrestreker', 18], ['Ta siste rest av kaffe uten å lage mer', 4]]
[['Hjelpe noen', 3], ['Lure noen', 7], ['Gi en klem', 3], ['Hjelpe gamle damer over veien', 5]]
[['Gi en klem', 6], ['Hjelpe noen', 11], ['Ta siste rest av kaffe uten å lage mer', 12], ['Narrestreker', 14]]
[['Ta siste rest av kaffe uten å lage mer', 3], ['Narrestreker', 17], ['Gi en klem', 7], ['Hjelpe noen', 3]]
[['Narrestreker', 1], ['Hjelpe noen', 14], ['Gi en klem', 19], ['Gi en gave', 17]]
[['Dytte gamle damer ut i veien', 10], ['Narrestreker', 9], ['Tatt med guitar på fest', 17], ['Lure noen', 13]]
[['Gi en klem', 10], ['Hjelpe noen', 11], ['Hjelpe gamle damer over veien', 2], ['Dytte gamle damer ut i veien', 5]]
[['Dytte gamle damer ut i veien', 12], ['Lure noen', 10], ['Hjelpe gamle damer over veien', 19], ['Gi en klem', 10]]
[['Dytte gamle damer ut i veien', 2], ['Hjelpe noen', 8], ['Narrestreker', 12], ['Mord', 12]]
[['Gi en gave', 1], ['Narrestreker', 10], ['Lure noen', 17], ['Hjelpe gamle damer over veien', 5]]
[['Lure noen', 3], ['Hjelpe noen', 6], ['Dytte gamle damer ut i veien', 19], ['Hjelpe gamle damer over veien', 19]]
[['Hjelpe gamle damer over veien', 14], ['Narrestreker', 11], ['Gi en gave', 18], ['Lure noen', 19]]
[['Gi en klem', 8], ['Hjelpe gamle damer over veien', 4], ['Gi en gave', 5], ['Lure noen', 8]]
[['Hjelpe gamle damer over veien', 18], ['Tatt med guitar på fest', 2], ['Hjelpe noen', 9], ['Dytte gamle damer ut i veien', 6]]
[['Gi en klem', 10], ['Gi en gave', 1], ['Mord', 13], ['Hjelpe gamle damer over veien', 14]]
[['Hjelpe noen', 8], ['Dytte gamle damer ut i veien', 15], ['Gi en gave', 17], ['Hjelpe gamle damer over veien', 8]]
[['Dytte gamle damer ut i veien', 18], ['Gi en gave', 2], ['Hjelpe gamle damer over veien', 18], ['Hjelpe noen', 10]]
[['Gi en gave', 4], ['Hjelpe noen', 10], ['Gi en klem', 17], ['Narrestreker', 7]]
[['Hjelpe noen', 5], ['Narrestreker', 6], ['Gi en gave', 15], ['Dytte gamle damer ut i veien', 4]]
[['Gi en klem', 10], ['Hjelpe noen', 12], ['Gi en gave', 12], ['Hjelpe gamle damer over veien', 10]]
[['Hjelpe noen', 19], ['Ta siste rest av kaffe uten å lage mer', 5], ['Narrestreker', 17], ['Tatt med guitar på fest', 6]]
[['Lure noen', 11], ['Hjelpe noen', 5], ['Hjelpe gamle damer over veien', 5], ['Dytte gamle damer ut i veien', 17]]
[['Hjelpe noen', 12], ['Gi en gave', 18], ['Gi en klem', 17], ['Ta siste rest av kaffe uten å lage mer', 12]]
[['Hjelpe gamle damer over veien', 16], ['Narrestreker', 7], ['Lure noen', 6], ['Dytte gamle damer ut i veien', 17]]
[['Hjelpe gamle damer over veien', 6], ['Gi en gave', 15], ['Hjelpe noen', 8], ['Ta siste rest av kaffe uten å lage mer', 11]]
[['Hjelpe noen', 5], ['Redde ett liv', 7], ['Gi en gave', 18], ['Lure noen', 11]]
[['Hjelpe noen', 14], ['Narrestreker', 7], ['Gi en klem', 2], ['Lure noen', 8]]
[['Hjelpe gamle damer over veien', 11], ['Lure noen', 13], ['Dytte gamle damer ut i veien', 18], ['Ta siste rest av kaffe uten å lage mer', 10]]
[['Gi en gave', 12], ['Dytte gamle damer ut i veien', 2], ['Narrestreker', 14], ['Hjelpe gamle damer over veien', 16]]
[['Lure noen', 19], ['Gi en gave', 16], ['Hjelpe gamle damer over veien', 15], ['Dytte gamle damer ut i veien', 18]]
[['Hjelpe gamle damer over veien', 11], ['Gi en gave', 10], ['Narrestreker', 13], ['Dytte gamle damer ut i veien', 17]]
[['Hjelpe noen', 3], ['Gi en klem', 2], ['Narrestreker', 8], ['Hjelpe gamle damer over veien', 2]]
[['Gi en klem', 19], ['Gi en gave', 14], ['Lure noen', 4], ['Narrestreker', 4]]
[['Redde ett liv', 19], ['Dytte gamle damer ut i veien', 18], ['Ta siste rest av kaffe uten å lage mer', 13], ['Lure noen', 9]]
[['Hjelpe noen', 7], ['Dytte gamle damer ut i veien', 19], ['Gi en klem', 10], ['Tatt med guitar på fest', 5]]
[['Gi en gave', 14], ['Hjelpe noen', 16], ['Lure noen', 8], ['Gi en klem', 18]]
[['Dytte gamle damer ut i veien', 18], ['Hjelpe noen', 14], ['Narrestreker', 6], ['Gi en gave', 17]]
[['Dytte gamle damer ut i veien', 9], ['Lure noen', 4], ['Narrestreker', 11], ['Hjelpe gamle damer over veien', 15]]
[['Dytte gamle damer ut i veien', 1], ['Gi en gave', 19], ['Gi en klem', 14], ['Ta siste rest av kaffe uten å lage mer', 15]]
[['Hjelpe gamle damer over veien', 4], ['Narrestreker', 8], ['Ta siste rest av kaffe uten å lage mer', 17], ['Gi en klem', 11]]
[['Lure noen', 8], ['Hjelpe gamle damer over veien', 2], ['Dytte gamle damer ut i veien', 9], ['Tatt med guitar på fest', 8]]
[['Gi en klem', 3], ['Narrestreker', 9], ['Hjelpe noen', 15], ['Dytte gamle damer ut i veien', 2]]
[['Hjelpe gamle damer over veien', 18], ['Gi en gave', 6], ['Narrestreker', 16], ['Gi en klem', 9]]
[['Dytte gamle damer ut i veien', 1], ['Tatt med guitar på fest', 15], ['Narrestreker', 12], ['Gi en klem', 15]]
[['Gi en klem', 12], ['Dytte gamle damer ut i veien', 10], ['Hjelpe gamle damer over veien', 13], ['Hjelpe noen', 12]]
[['Hjelpe gamle damer over veien', 15], ['Hjelpe noen', 15], ['Gi en gave', 13], ['Gi en klem', 13]]
[['Hjelpe noen', 11], ['Gi en gave', 7], ['Redde ett liv', 1], ['Ta siste rest av kaffe uten å lage mer', 10]]
